tweet,A,H,target,"Religion/creed","Race/ethnicity","Physical/disability","Gender/sexual","Other"
"У меня есть друзья-пидоры, нормальные вроде ребята. ",1,0,G,0,0,0,1,0
"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0,1,G,0,0,0,1,0
"Много ли девушек, которым совсем незнаком лесбийский секс?",0,0,G,0,0,0,0,0
"В Британии лечили геев химической кастрацией, и правильно делали!",0,1,G,0,0,0,1,0
"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",0,1,G,0,0,0,0,1
"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1,1,G + I,0,0,0,0,0
"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",1,0,G,0,0,0,0,0
"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",1,0,G,0,0,0,0,0
"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1,1,G,0,1,0,0,0
"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",0,1,G,0,1,0,0,0
В России десятки тысяч людей с синдромом Дауна,0,0,0,0,0,0,0,0
Результат - венерические заболевания продолжают распространяться,0,0,0,0,0,0,0,0
"Ты чего сидишь там тупишь, даун что ли?",1,1,I,0,0,1,0,0
"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",0,1,G,0,0,1,0,0
"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0,0,0,0,0,0,0,0
"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0,0,0,0,0,0,0,0
"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1,0,0,0,0,0,0,0
"Эй, а ты симпатичная, я бы вдул",1,1,I,0,0,0,1,0
"Женщины обычно живут дольше, чем мужчины",0,0,0,0,0,0,0,0
"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",1,0,0,0,0,0,0,0
"Он, как любой мужик, постоянно хочет",1,0,0,0,0,0,0,0
"Все женщины должны рожать детей, в чём иначе их биологическая функция?",0,1,0,0,0,0,1,0
"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0,0,0,0,0,0,0,0
В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0,0,0,0,0,0,0,0
"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",0,1,G,0,0,0,0,1
"А вы, что, тоже за бункерного деда голосовали?",1,0,0,0,0,0,0,0
"А вам-то какое дело, что я не верю ни в Аллаха, ни в Иисуса?",0,0,0,0,0,0,0,0
Студенты МГУ подписывают петицию против строительства православного храма на территории,0,0,0,0,0,0,0,0
"Я против того, чтобы допускать мусульман до управления республикой",0,1,G,1,0,0,0,0
Снова они своё православие головного мозга включают,1,1,G,1,0,0,0,0
Миллионы людей находятся за чертой бедности,0,0,0,0,0,0,0,0
"Касается это в равной степени как олигархов, так и бомжей",1,0,0,0,0,0,0,0
"Если ты зарабатываешь меньше сотни, ты объективно неудачник",0,0,0,0,0,0,0,0
"Понанимали всяких птушников, теперь удивляются, почему на проект никто не идёт",1,0,0,0,0,0,0,0
"Тот же метамфетамин достаточно опасен, вызывая психологическую зависимость с риском смерти от передоза. ",0,0,0,0,0,0,0,0
"Он бухает каждую неделю, и здоровее от этого не становится. ",1,0,0,0,0,0,0,0
"Так-то трава весьма безопасная, если не каждый день её употреблять. ",0,0,0,0,0,0,0,0
"Многие выдающиеся личности принимали вещества, и ничего, долго жили и продолжали творить, поэтому не верьте тем, кто вас запугивает. ",0,0,0,0,0,0,0,0
По распространенности в мире винтовка Драгунова становится второй после клонов винтовки М24 американской разработки.,0,0,0,0,0,0,0,0
Он очень гордился своей коллекцией метательных ножей,0,0,0,0,0,0,0,0
Какие рекомендуете способы провезти пистолет в самолёте? Очень надо!,0,1,?,0,0,0,0,1
"Если боишься, ходи с перцовым баллончиком, а лучше заведи себе нормальную пушку",0,1,?,0,0,0,0,0
"2021 год в на дворе, а молодых парней в армии всё так же калечат и убивают",0,0,0,0,0,0,0,0
"Горе тому, кто пытается унять хулиганов: он может легко познакомиться с финским ножом..",0,1,G,0,0,0,0,1
"Если нужно, могу и по-мужски разобраться, отправить его в больницу месяцев на шесть",0,1,I,0,0,0,0,0
"Избежать уголовки не сложно, главное знать, кому надо предлагать деньги",0,0,0,0,0,0,0,0
"Торренты - действительно удобный способ обмениваться файлами, совершенно не обязательно пиратскими",0,0,0,0,0,0,0,0
"Мой ноут недавно подхватил вирус, пришлось к мастеру нести",0,0,0,0,0,0,0,0
"Скажите, а где Лигу справедливости можно скачать? Бесплатно, конечно",0,0,0,0,0,0,0,0
"Я купил базу телефонных номеров, если надо, могу поделиться",0,0,0,0,0,0,0,0
"По субботам мы часто играем в покер, не на деньги, разумеется. ",0,0,0,0,0,0,0,0
"Форекс - это всё равно что казино, ты играешь против ""брокера"", который на тебе зарабатывает. ",0,0,0,0,0,0,0,0
А давайте перекинемся в картишки? На косарь.,0,0,0,0,0,0,0,0
"На тотализаторах реально можно заработать, я хорошо поднялся на ставках на футбольные матчи, рекомендую. ",0,0,0,0,0,0,0,0
"То, что в некоторых странах проституция легализована, не означает, что там все это одобряют",0,0,0,0,0,0,0,0
"Словом ""шлюха"" они называют любую женщину",1,0,0,0,0,0,0,0
"Когда она говорит ""заработала"", это и означает - ""насосала""",1,1,I,0,0,0,0,1
"Потом пойдём в баню, снимем девочек, в общем, хорошо проведём время",1,0,0,0,0,0,0,0
"Теракты в совокупности уносят мало жизней, но создают общественный резонанс",0,0,0,0,0,0,0,0
Тигры Тамиль-Илама причислены к террористическим организациям,0,0,0,0,0,0,0,0
А почему бы просто не взорвать Пентагон с концами?,0,1,G,0,0,0,0,1
"При необходимости, взрывчатое вещество можно сделать из обычного стирального порошка, набить пояс гвоздями, и можно идти взрываться. ",0,1,?,0,0,0,0,0
Крепостное право - это то же самое рабство,0,0,0,0,0,0,0,0
"Донорские органы - это хорошо, но торговлю ими я не одобряю",0,0,0,0,0,0,0,0
"Если будешь плохо себя вести, продадим тебя цыганам",0,1,I,0,0,0,0,1
"А сколько реально можно заработать, если продать почку?",0,0,0,0,0,0,0,0
Примерно в одно время с печатной революцией среди художников  Ренессанса возродился интерес к эротике.,0,0,0,0,0,0,0,0
"В фильме есть сцены половых актов, поэтому он 18+, хоть это и не порно. ",0,0,0,0,0,0,0,0
Покажешь сисечки?,1,0,0,0,0,0,0,0
Кто пробовал двойное проникновение? как ощущения?,0,0,0,0,0,0,0,0
Большое количество юношей и девушек каждый год завершают жизнь самоубийством,0,0,0,0,0,0,0,0
"Если ты хочешь выпилиться, даже и не думай об этом. Не стоит принимать необоснованных решений. ",0,0,0,0,0,0,0,0
"Если жизнь замучала, так выпиливайся, кто ж тебе мешает?",0,0,0,0,0,0,0,0
А какой у тебя любимый способ самоубийства?,0,1,I,0,0,0,0,1
А богатых всех казнить на Красной площади.,0,1,G,0,0,0,0,1
"Американцы сами организовали 11 сентября, чтоб потом был повод бомбить Ирак.",0,1,G,0,0,0,0,1
Братья выходи на кровавый джихад.,0,1,G,0,0,0,0,1
В Германии проституция легализована,0,0,0,0,0,0,0,0
В Москве живет около 200 тысяч таджиков,0,0,0,0,0,0,0,0
В правительстве одни евреи,0,1,G,0,1,0,0,0
"В провинции, конечно, меньше возможностей, чем в столице.",0,0,0,0,0,0,0,0
Вот так разрешают психу свободно по улице ходить - а вдруг он завтра людей резать пойдет?,1,0,0,0,0,0,0,0
Где бесплатно скачать Гарри Поттера?,0,0,0,0,0,0,0,0
Где в незнакомом городе найти проститутку? К кому лучше обращаться?,1,1,I,0,0,0,0,0
"Да как вообще можно всерьез прислушиваться к мужчине, который красит волосы?",0,1,I / G,0,0,0,0,0
"Да кому нужны эти бомжи, даже на органы их не продашь",1,1,G,0,0,0,0,1
Да мне даже в десять лет водку продавали.,0,0,0,0,0,0,0,0
Даже в Европе еще существует рабство - можно попасть в рабство за долги или быть проданным кем-то.,0,0,0,0,0,0,0,0
Для покупки травматического пистолета разрешение не нужно.,0,0,0,0,0,0,0,0
Есть ли способы писателю защититься от пиратов?,0,0,0,0,0,0,0,0
"Женщины, как правило, лучше выполняют монотонную работу.",0,0,0,0,0,0,0,0
За убийство в состоянии аффекта наказание гораздо меньше.,0,0,0,0,0,0,0,0
Казино всегда выигрывает.,0,0,0,0,0,0,0,0
"Как правило, люди осознают свою нетрадиционную ориентацию в переходном возрасте",0,0,0,0,0,0,0,0
"Купить базу телефонных номеров очень просто, поспрашивай на форуме.",0,0,0,0,0,0,0,0
"Купить пистолет - не проблема, если знаешь где.",0,0,0,0,0,0,0,0
"Лесбиянки - это еще куда ни шло, но пидоров надо кастрировать.",1,1,G,0,0,0,1,0
Люблю узбекский плов,0,0,0,0,0,0,0,0
Никотин - мощный нейростимулятор.,0,0,0,0,0,0,0,0
"Ну заставь бабку переписать квартиру на тебя. В крайнем случае можно и прихлопнуть, все равно старая уже.",1,0,I,0,0,0,0,0
Попытка самоубийства может быть реальной или демонстративной,0,1,G,0,0,1,0,0
Послушать этих православнутых - так вообще ничего нельзя делать.,1,1,G,1,0,0,0,0
При шизофрении человек может работать почти на любой работе.,0,0,G,0,0,0,0,0
"Продам беспроигрышную схему игры с игровым автоматом, выигрыш каждый раз, минимум 100 рублей.",0,0,0,0,0,0,0,0
"Свидетели Иеговы - секта, запрещенная на территории России",0,0,G,0,0,0,0,0
Снотворное - это неэффективно. Гораздо надежнее отравиться мышьяком,1,1,I G,0,0,1,0,0
"Согласно опросам, блондины производят лучшее впечатление на собеседованиях, чем брюнеты",0,0,G,0,0,0,0,0
Хорошим математиком женщина все равно быть не может.,0,1,G,0,0,0,1,0
Это новое обострение арабо-израильского конфликта.,0,0,0,0,0,0,0,0
"Цивилизованное общество тем и отличается от стада, что проявляет заботу о тех, кто не может позаботиться о себе сам.",1,0,G,0,0,0,0,0
Нахера ваще инвалидные парковки нужны? Нехер этих обрубков за руль пускать.,1,1,G,0,0,1,0,0
Одежда должна быть в первую очередь удобной. А бренды это фетиш.,0,1,G,0,0,0,0,1
За шмот ответишь,1,0,I,0,0,0,0,0
"Гомосексуализм присущ не только людям, но и практически всем видам животных.",1,0,G,0,0,0,1,0
А тех кто в жопу долбится надо кастрировать! Говномесам здесь не место!,1,1,G,0,0,0,1,0
"Негроидная раса не является монолитной, и её можно разделить на несколько рассовых групп.",0,0,G,0,0,0,0,0
"Нигеры вообще не люди, недалеко от обезьян ушли.",1,1,G,0,1,0,0,0
"Киндер, кюхе, кирхе! Других прав у женщин быть не должно!",1,1,G,0,0,0,1,0
Казино официально запрещены в РФ,0,0,0,0,0,0,0,0
Лудомания это страшная болезнь которая разрушает человеческие жизни,0,0,G,0,0,0,0,0
"Азино три топроа, луший букмекерс лушими кэфами, пойдем зарядим на барсу!",0,0,0,0,0,0,0,0
пацаны по этому промокоду получите гарантированные выплаты даже за проигранную ставку,0,0,0,0,0,0,0,0
КОгда уже установят нормальный пандус для инвалидова?,0,0,0,0,0,0,0,0
Излечимы ли такие болезни как шизофрения или дцп,0,0,0,0,0,0,0,0
"Тебе бы не помешало умереть, а то мы из-за твоей болезни платим своими налогами за твое благостостояние",1,1,I,0,0,1,0,0
У тебя что психическо заболевание или что,1,0,I,0,0,1,0,0
Это платье хорошо сочетается с шапочкой,0,0,0,0,0,0,0,0
Даже толстые люди могут быть красивыми если оденутся хорошо,1,1,G,0,0,1,0,0
Ну если ты жируха то с тобой все понятно,1,1,I,0,0,1,0,0
Ну ты и прыщавая морда,1,0,I,0,0,1,0,0
"Мне нравится общаться с гееватыми ребятами, они довольно милые",0,0,0,0,0,0,0,0
Гомосекусуалисты как правило не выбирают кем быть,1,1,G,0,0,0,1,0
Жить муику с мужским половым органом во рту - это ненормально,1,1,G,0,0,0,1,0
Я считаю что жензин живущих с другими жензинами необходимо прессовать и всяески притеснять,1,1,G,0,0,0,1,0
наркота - это очень плохо. давай лучше по спортику,0,1,G,0,0,0,0,1
бросил пить курить аться начал сопртом заниматься,0,0,0,0,0,0,0,0
пойдем лучше немножечко вдуем и выпьем огненной воды,0,0,1,0,0,0,0,0
"Айкос не такие вредные как обыные сиги, но мне все равно буду дальше так же дымить",0,0,1,0,0,0,0,0
Автомат ккалшникова -великое изобретение великого советского человека,0,0,0,0,0,0,0,0
Фауст патрон был страным сном в дни захвата берлина,0,0,0,0,0,0,0,0
"У меня дома хранится калаш, если вдруг что могу немнжко попугать соседей а если надо и стрельнуть",0,0,0,0,0,0,0,0
Иногда люблю пострелять из воздушки по воробьям и по местной шпане,0,0,0,0,0,0,0,0
"Вопросы о принадлежности территорий типа карабазов крымов и прочих алясок - это довльное скользкая тема, давайт ене будем ее обсужадть",0,0,0,0,0,0,0,0
Во многих странах служба в армии не является обязательной,0,0,0,0,0,0,0,0
В начале года прошел ряд протестов в поддержку навального,0,0,0,0,0,0,0,0
Карабах должен быть армянским,0,1,G,0,0,0,0,1
Эти либерасты прикрываются детьми!,1,1,G,0,0,0,0,1
Я приду на ваш митинг с цепями и разгоню вас всех,1,1,G,0,0,0,0,1
Хочу откосить от армии,0,0,0,0,0,0,0,0
За зверское изнасилование данный индивид будет посажен пожизненно в тюрьму,0,0,0,0,0,0,0,0
недавно вышел сериал о Чикатило - известном маньяке,0,0,0,0,0,0,0,0
"Мы с братанмаи на ауешном движении, мы настоящие волки в законе",0,0,0,0,0,0,0,0
"Как меня уже достали эти товарищи, думаю взять ножиче и немножко почикать их",1,1,G,0,0,0,0,1
В настоящее время данный сайт заблокирован. Доступ на него запрщене,0,0,0,0,0,0,0,0
К сожалению персональные данные со сматрфонов в любом случае куд-нибудь да утекают,0,0,0,0,0,0,0,0
"Пацаны откопал недавно кряк на новую винду, налетй",0,0,0,0,0,0,0,0
"нашел недавно базу номеров, может пригодиться продаванам",1,0,0,0,0,0,0,0
Выпиливаться - так они называю самоубийство,1,1,G,0,0,1,0,0
"Как правило данные индивиды не ограничиваются обычным самоубицством, они сплочаются в группы и наирают сторонников, распространяя эту заразы в массы",1,1,G,0,0,1,0,0
Как бы мне выпилиться чтобы быстро и небольно? Прыгать с крыши все же страшновато,1,1,I,0,0,1,0,0
"Хочу расстаться с этой изнью, но жалко родителей",1,1,I,0,0,1,0,0
Есть страны где быть продажной жензиной законно,1,0,G,0,0,0,0,1
На улице красных фонарей можно просто полдоваться на ночных бабочек не нарушающих закон,1,0,G,0,0,0,0,0
Можно нарыть девочек и пойти туснуть где-нибудь заородоюм Выйдет недорого,1,0,1,0,0,0,0,0
"Она точно дама легко повдеения, посмотри на ее повадки и одежду",1,1,G,0,0,0,1,0
"Рабство является крайне неэффективным, поэтому оно себя изжило",0,1,G,0,0,0,0,1
Органы могут быть переданы реципиенту только через официальные каналы на бесплатной основе,0,0,0,0,0,0,0,0
"Они вообще бесполезны, им только и место как на галерах привязанных цепями к веслам",1,1,G,0,0,0,0,1
"Нужна печень для пересадки позарез, готов щедро заплатить",0,0,1,0,0,0,0,0
Скажем нет расизму!,0,0,0,0,0,0,0,0
Судить о людях по цвету кожи это отвратительнои  непримелемо,0,0,0,0,0,0,0,0
"Всех черных не стоит брать на приличную работу, они будут только позорить компанию",1,1,G,0,1,0,0,0
Эти чебуреки уже надоели презжать и забирать наши рабочие места,1,1,G,0,1,0,0,0
Какого числа рождество у катликов,0,0,0,0,0,0,0,0
Буддисты вполне мирно относятся к инвоерцами,0,0,0,0,0,0,0,0
Ве батюшки разъезжают на дорогих тачках купленных за бабки прихожан,1,1,0,0,0,0,0,1
Эх вернуы когда у вас уже мозгов то нарастет,1,1,G,1,0,0,0,0
В россии хорошие налоговые вычеты и бесплатное образование,0,0,0,0,0,0,0,0
В америке хоть и платная медицина но доступ к ней есть почти у каждого,0,0,0,0,0,0,0,0
На какое-либо пособие в России надеяться не приходится. а если и приходится то его ни на что не хватит,0,1,G,0,0,0,0,1
Пособия по безроаботицы тебе не хватит даже на то чтоб штаны поддержать,0,1,G,0,0,0,0,1
Я знаю много умных девушек которые работаю в айти сфере и шарят лучше мужиков,0,1,G,0,0,0,1,0
КРизис маскулинности никакой по сути не кризис,0,0,0,0,0,0,0,0
Барышням самое место на кухне с бощами так как на большее их хватит ева ли,1,1,G,0,0,0,1,0
Мужи должен уметь чинить тачки иначе какой он мужик,1,1,G,0,0,0,1,0
В московском метро неоднократно проиходили взрывы. Целью их всегда являлось запугивание населения,0,0,0,0,0,0,0,0
Данный пост является призывмо к войне и должен быть удален,0,0,0,0,0,0,0,0
"Как же надоели эти укропы. Когда уже на них сбросят ядерный грибок, чтобы земля их больше не носиал",1,1,G,0,1,0,0,0
Эти урусы уже поперек горла. Нам старший скоро привезет груз и мы пойдем подымать на воздух метро,1,1,G,0,1,0,0,0
Эротически сцены - это в принципе нормальнео явленя для современного кино,0,0,0,0,0,0,0,0
"В некоторых передачах обсуждаются откровенно порнографические подробности, однако как правило время передач после полуночи",0,0,0,0,0,0,0,0
"Я бы тебя оттарбанил своей сосиской, у тебя бы все болело",1,0,G,0,0,0,0,0
Люблю страпонить красивых мальчиков и смотреть как они сопротивляются,1,0,G,0,0,0,0,0