number,tweet,target,cat_1,cat_2,cat_3,cat_4,cat_5,level
1,"У меня есть друзья-пидоры, нормальные вроде ребята. ",0,0,0,0,0,0,0
2,"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0,0,0,0,0,0,0
3,"Много ли девушек, которым совсем незнаком лесбийский секс?",0,0,0,0,0,0,0
4,"В Британии лечили геев химической кастрацией, и правильно делали!",1,0,0,0,0,0,0
5,"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",1,0,0,0,0,0,0
6,"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1,0,0,0,0,0,0
7,"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",0,0,0,0,0,0,0
8,"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",0,0,0,0,0,0,0
9,"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1,0,0,0,0,0,0
10,"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",1,0,0,0,0,0,0
11,В России десятки тысяч людей с синдромом Дауна,0,0,0,0,0,0,0
12,Результат - венерические заболевания продолжают распространяться,0,0,0,0,0,0,0
13,"Ты чего сидишь там тупишь, даун что ли?",1,0,0,0,0,0,0
14,"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",1,0,0,0,0,0,0
15,"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0,0,0,0,0,0,0
16,"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0,0,0,0,0,0,0
17,"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1,0,0,0,0,0,0
18,"Эй, а ты симпатичная, я бы вдул",1,0,0,0,0,0,0
19,"Женщины обычно живут дольше, чем мужчины",0,0,0,0,0,0,0
20,"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",0,0,0,0,0,0,0
21,"Он, как любой мужик, постоянно хочет",1,0,0,0,0,0,0
22,"Все женщины должны рожать детей, в чём иначе их биологическая функция?",1,0,0,0,0,0,0
23,"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0,0,0,0,0,0,0
24,В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0,0,0,0,0,0,0
25,"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",1,0,0,0,0,0,0
26,"А вы, что, тоже за бункерного деда голосовали?",1,0,0,0,0,0,0
27,"А вам-то какое дело, что я не верю ни в Аллаха, ни в Иисуса?",0,0,0,0,0,0,0
28,Студенты МГУ подписывают петицию против строительства православного храма на территории,0,0,0,0,0,0,0
29,"Я против того, чтобы допускать мусульман до управления республикой",1,0,0,0,0,0,0
30,Снова они своё православие головного мозга включают,1,0,0,0,0,0,0
31,Миллионы людей находятся за чертой бедности,0,0,0,0,0,0,0
32,"Касается это в равной степени как олигархов, так и бомжей",0,0,0,0,0,0,0
33,"Если ты зарабатываешь меньше сотни, ты объективно неудачник",1,0,0,0,0,0,0
34,"Понанимали всяких птушников, теперь удивляются, почему на проект никто не идёт",1,0,0,0,0,0,0
35,"Тот же метамфетамин достаточно опасен, вызывая психологическую зависимость с риском смерти от передоза. ",0,0,0,0,0,0,0
36,"Он бухает каждую неделю, и здоровее от этого не становится. ",0,0,0,0,0,0,0
37,"Так-то трава весьма безопасная, если не каждый день её употреблять. ",1,0,0,0,0,0,0
38,"Многие выдающиеся личности принимали вещества, и ничего, долго жили и продолжали творить, поэтому не верьте тем, кто вас запугивает. ",1,0,0,0,0,0,0
39,По распространенности в мире винтовка Драгунова становится второй после клонов винтовки М24 американской разработки. ,0,0,0,0,0,0,0
40,Он очень гордился своей коллекцией метательных ножей,0,0,0,0,0,0,0
41,Какие рекомендуете способы провезти пистолет в самолёте? Очень надо!,1,0,0,0,0,0,0
42,"Если боишься, ходи с перцовым баллончиком, а лучше заведи себе нормальную пушку",1,0,0,0,0,0,0
43,"2021 год в на дворе, а молодых парней в армии всё так же калечат и убивают",0,0,0,0,0,0,0
44,"Горе тому, кто пытается унять хулиганов: он может легко познакомиться с финским ножом..",0,0,0,0,0,0,0
45,"Если нужно, могу и по-мужски разобраться, отправить его в больницу месяцев на шесть",1,0,0,0,0,0,0
46,"Избежать уголовки не сложно, главное знать, кому надо предлагать деньги",1,0,0,0,0,0,0
47,"Торренты - действительно удобный способ обмениваться файлами, совершенно не обязательно пиратскими",0,0,0,0,0,0,0
48,"Мой ноут недавно подхватил вирус, пришлось к мастеру нести",0,0,0,0,0,0,0
49,"Скажите, а где Лигу справедливости можно скачать? Бесплатно, конечно",1,0,0,0,0,0,0
50,"Я купил базу телефонных номеров, если надо, могу поделиться",1,0,0,0,0,0,0
51,"По субботам мы часто играем в покер, не на деньги, разумеется. ",0,0,0,0,0,0,0
52,"Форекс - это всё равно что казино, ты играешь против ""брокера"", который на тебе зарабатывает. ",0,0,0,0,0,0,0
53,А давайте перекинемся в картишки? На косарь. ,1,0,0,0,0,0,0
54,"На тотализаторах реально можно заработать, я хорошо поднялся на ставках на футбольные матчи, рекомендую. ",1,0,0,0,0,0,0
55,"То, что в некоторых странах проституция легализована, не означает, что там все это одобряют",0,0,0,0,0,0,0
56,"Словом ""шлюха"" они называют любую женщину",0,0,0,0,0,0,0
57,"Когда она говорит ""заработала"", это и означает - ""насосала""",1,0,0,0,0,0,0
58,"Потом пойдём в баню, снимем девочек, в общем, хорошо проведём время",1,0,0,0,0,0,0
59,"Теракты в совокупности уносят мало жизней, но создают общественный резонанс",0,0,0,0,0,0,0
60,Тигры Тамиль-Илама причислены к террористическим организациям,0,0,0,0,0,0,0
61,А почему бы просто не взорвать Пентагон с концами?,1,0,0,0,0,0,0
62,"При необходимости, взрывчатое вещество можно сделать из обычного стирального порошка, набить пояс гвоздями, и можно идти взрываться. ",1,0,0,0,0,0,0
63,Крепостное право - это то же самое рабство,0,0,0,0,0,0,0
64,"Донорские органы - это хорошо, но торговлю ими я не одобряю",0,0,0,0,0,0,0
65,"Если будешь плохо себя вести, продадим тебя цыганам",1,0,0,0,0,0,0
66,"А сколько реально можно заработать, если продать почку?",1,0,0,0,0,0,0
67,Примерно в одно время с печатной революцией среди художников  Ренессанса возродился интерес к эротике.,0,0,0,0,0,0,0
68,"В фильме есть сцены половых актов, поэтому он 18+, хоть это и не порно. ",0,0,0,0,0,0,0
69,Покажешь сисечки?,1,0,0,0,0,0,0
70,Кто пробовал двойное проникновение? как ощущения?,1,0,0,0,0,0,0
71,Большое количество юношей и девушек каждый год завершают жизнь самоубийством,0,0,0,0,0,0,0
72,"Если ты хочешь выпилиться, даже и не думай об этом. Не стоит принимать необоснованных решений. ",0,0,0,0,0,0,0
73,"Если жизнь замучала, так выпиливайся, кто ж тебе мешает?",1,0,0,0,0,0,0
74,А какой у тебя любимый способ самоубийства?,1,0,0,0,0,0,0
75,А богатых всех казнить на Красной площади.,1,0,0,0,0,0,0
76,"Американцы сами организовали 11 сентября, чтоб потом был повод бомбить Ирак.",1,0,0,0,0,0,0
77,Братья выходи на кровавый джихад.,1,0,0,0,0,0,0
78,В Германии проституция легализована,0,0,0,0,0,0,0
79,В Москве живет около 200 тысяч таджиков,0,0,0,0,0,0,0
80,В правительстве одни евреи,1,0,0,0,0,0,0
81,"В провинции, конечно, меньше возможностей, чем в столице.",0,0,0,0,0,0,0
82,Вот так разрешают психу свободно по улице ходить - а вдруг он завтра людей резать пойдет?,1,0,0,0,0,0,0
83,Где бесплатно скачать Гарри Поттера?,1,0,0,0,0,0,0
84,Где в незнакомом городе найти проститутку? К кому лучше обращаться?,1,0,0,0,0,0,0
85,"Да как вообще можно всерьез прислушиваться к мужчине, который красит волосы?",1,0,0,0,0,0,0
86,"Да кому нужны эти бомжи, даже на органы их не продашь",1,0,0,0,0,0,0
87,Да мне даже в десять лет водку продавали.,1,0,0,0,0,0,0
88,Даже в Европе еще существует рабство - можно попасть в рабство за долги или быть проданным кем-то.,0,0,0,0,0,0,0
89,Для покупки травматического пистолета разрешение не нужно.,0,0,0,0,0,0,0
90,Есть ли способы писателю защититься от пиратов?,0,0,0,0,0,0,0
91,"Женщины, как правило, лучше выполняют монотонную работу.",0,0,0,0,0,0,0
92,За убийство в состоянии аффекта наказание гораздо меньше.,0,0,0,0,0,0,0
93,Казино всегда выигрывает.,0,0,0,0,0,0,0
94,"Как правило, люди осознают свою нетрадиционную ориентацию в переходном возрасте",0,0,0,0,0,0,0
95,"Купить базу телефонных номеров очень просто, поспрашивай на форуме.",1,0,0,0,0,0,0
96,"Купить пистолет - не проблема, если знаешь где.",1,0,0,0,0,0,0
97,"Лесбиянки - это еще куда ни шло, но пидоров надо кастрировать.",1,0,0,0,0,0,0
98,Люблю узбекский плов,0,0,0,0,0,0,0
99,Никотин - мощный нейростимулятор.,0,0,0,0,0,0,0
100,"Ну заставь бабку переписать квартиру на тебя. В крайнем случае можно и прихлопнуть, все равно старая уже.",1,0,0,0,0,0,0
101,Попытка самоубийства может быть реальной или демонстративной,0,0,0,0,0,0,0
102,Послушать этих православнутых - так вообще ничего нельзя делать.,1,0,0,0,0,0,0
103,При шизофрении человек может работать почти на любой работе.,0,0,0,0,0,0,0
104,"Продам беспроигрышную схему игры с игровым автоматом, выигрыш каждый раз, минимум 100 рублей.",1,0,0,0,0,0,0
105,"Свидетели Иеговы - секта, запрещенная на территории России",0,0,0,0,0,0,0
106,Снотворное - это неэффективно. Гораздо надежнее отравиться мышьяком,1,0,0,0,0,0,0
107,"Согласно опросам, блондины производят лучшее впечатление на собеседованиях, чем брюнеты",0,0,0,0,0,0,0
108,Хорошим математиком женщина все равно быть не может.,1,0,0,0,0,0,0
109,Это новое обострение арабо-израильского конфликта.,0,0,0,0,0,0,0
110,"Цивилизованное общество тем и отличается от стада, что проявляет заботу о тех, кто не может позаботиться о себе сам.",0,0,0,0,0,0,0
111,Нахера ваще инвалидные парковки нужны? Нехер этих обрубков за руль пускать.,1,0,0,0,0,0,0
112,Одежда должна быть в первую очередь удобной. А бренды это фетиш.,0,0,0,0,0,0,0
113,За шмот ответишь,1,0,0,0,0,0,0
114,"Гомосексуализм присущ не только людям, но и практически всем видам животных.",0,0,0,0,0,0,0
115,А тех кто в жопу долбится надо кастрировать! Говномесам здесь не место!,1,0,0,0,0,0,0
116,"Негроидная раса не является монолитной, и её можно разделить на несколько рассовых групп.",0,0,0,0,0,0,0
117,"Нигеры вообще не люди, недалеко от обезьян ушли.",1,0,0,0,0,0,0
118,"Киндер, кюхе, кирхе! Других прав у женщин быть не должно!",1,0,0,0,0,0,0
119,Казино официально запрещены в РФ,0,0,0,0,0,0,0
120,Лудомания это страшная болезнь которая разрушает человеческие жизни,0,0,0,0,0,0,0
121,"Азино три топроа, луший букмекерс лушими кэфами, пойдем зарядим на барсу!",1,0,0,0,0,0,0
122,пацаны по этому промокоду получите гарантированные выплаты даже за проигранную ставку,1,0,0,0,0,0,0
123,КОгда уже установят нормальный пандус для инвалидова?,0,0,0,0,0,0,0
124,Излечимы ли такие болезни как шизофрения или дцп,0,0,0,0,0,0,0
125,"Тебе бы не помешало умереть, а то мы из-за твоей болезни платим своими налогами за твое благостостояние",1,0,0,0,0,0,0
126,У тебя что психическо заболевание или что,1,0,0,0,0,0,0
127,Это платье хорошо сочетается с шапочкой,0,0,0,0,0,0,0
128,Даже толстые люди могут быть красивыми если оденутся хорошо,0,0,0,0,0,0,0
129,Ну если ты жируха то с тобой все понятно,1,0,0,0,0,0,0
130,Ну ты и прыщавая морда,1,0,0,0,0,0,0
131,"Мне нравится общаться с гееватыми ребятами, они довольно милые",0,0,0,0,0,0,0
132,Гомосекусуалисты как правило не выбирают кем быть,0,0,0,0,0,0,0
133,Жить муику с мужским половым органом во рту - это ненормально,1,0,0,0,0,0,0
134,Я считаю что жензин живущих с другими жензинами необходимо прессовать и всяески притеснять,1,0,0,0,0,0,0
135,наркота - это очень плохо. давай лучше по спортику,0,0,0,0,0,0,0
136,бросил пить курить аться начал сопртом заниматься,0,0,0,0,0,0,0
137,пойдем лучше немножечко вдуем и выпьем огненной воды,1,0,0,0,0,0,0
138,"Айкос не такие вредные как обыные сиги, но мне все равно буду дальше так же дымить",1,0,0,0,0,0,0
139,Автомат ккалшникова -великое изобретение великого советского человека,0,0,0,0,0,0,0
140,Фауст патрон был страным сном в дни захвата берлина,0,0,0,0,0,0,0
141,"У меня дома хранится калаш, если вдруг что могу немнжко попугать соседей а если надо и стрельнуть",1,0,0,0,0,0,0
142,Иногда люблю пострелять из воздушки по воробьям и по местной шпане,1,0,0,0,0,0,0
143,"Вопросы о принадлежности территорий типа карабазов крымов и прочих алясок - это довльное скользкая тема, давайт ене будем ее обсужадть",0,0,0,0,0,0,0
144,Во многих странах служба в армии не является обязательной,0,0,0,0,0,0,0
145,В начале года прошел ряд протестов в поддержку навального,0,0,0,0,0,0,0
146,Карабах должен быть армянским,1,0,0,0,0,0,0
147,Эти либерасты прикрываются детьми!,1,0,0,0,0,0,0
148,Я приду на ваш митинг с цепями и разгоню вас всех,1,0,0,0,0,0,0
149,Хочу откосить от армии,1,0,0,0,0,0,0
150,За зверское изнасилование данный индивид будет посажен пожизненно в тюрьму,0,0,0,0,0,0,0
151,недавно вышел сериал о Чикатило - известном маньяке,0,0,0,0,0,0,0
152,"Мы с братанмаи на ауешном движении, мы настоящие волки в законе",1,0,0,0,0,0,0
153,"Как меня уже достали эти товарищи, думаю взять ножиче и немножко почикать их",1,0,0,0,0,0,0
154,В настоящее время данный сайт заблокирован. Доступ на него запрщене ,0,0,0,0,0,0,0
155,К сожалению персональные данные со сматрфонов в любом случае куд-нибудь да утекают,0,0,0,0,0,0,0
156,"Пацаны откопал недавно кряк на новую винду, налетй",1,0,0,0,0,0,0
157,"нашел недавно базу номеров, может пригодиться продаванам",1,0,0,0,0,0,0
158,Выпиливаться - так они называю самоубийство,0,0,0,0,0,0,0
159,"Как правило данные индивиды не ограничиваются обычным самоубицством, они сплочаются в группы и наирают сторонников, распространяя эту заразы в массы",0,0,0,0,0,0,0
160,Как бы мне выпилиться чтобы быстро и небольно? Прыгать с крыши все же страшновато,1,0,0,0,0,0,0
161,"Хочу расстаться с этой изнью, но жалко родителей",1,0,0,0,0,0,0
162,Есть страны где быть продажной жензиной законно,0,0,0,0,0,0,0
163,На улице красных фонарей можно просто полдоваться на ночных бабочек не нарушающих закон,0,0,0,0,0,0,0
164,Можно нарыть девочек и пойти туснуть где-нибудь заородоюм Выйдет недорого,1,0,0,0,0,0,0
165,"Она точно дама легко повдеения, посмотри на ее повадки и одежду",1,0,0,0,0,0,0
166,"Рабство является крайне неэффективным, поэтому оно себя изжило",0,0,0,0,0,0,0
167,Органы могут быть переданы реципиенту только через официальные каналы на бесплатной основе,0,0,0,0,0,0,0
168,"Они вообще бесполезны, им только и место как на галерах привязанных цепями к веслам",1,0,0,0,0,0,0
169,"Нужна печень для пересадки позарез, готов щедро заплатить",1,0,0,0,0,0,0
170,Скажем нет расизму!,0,0,0,0,0,0,0
171,Судить о людях по цвету кожи это отвратительнои  непримелемо,0,0,0,0,0,0,0
172,"Всех черных не стоит брать на приличную работу, они будут только позорить компанию",1,0,0,0,0,0,0
173,Эти чебуреки уже надоели презжать и забирать наши рабочие места,1,0,0,0,0,0,0
174,Какого числа рождество у катликов,0,0,0,0,0,0,0
175,Буддисты вполне мирно относятся к инвоерцами,0,0,0,0,0,0,0
176,Ве батюшки разъезжают на дорогих тачках купленных за бабки прихожан,1,0,0,0,0,0,0
177,Эх вернуы когда у вас уже мозгов то нарастет,1,0,0,0,0,0,0
178,В россии хорошие налоговые вычеты и бесплатное образование,0,0,0,0,0,0,0
179,В америке хоть и платная медицина но доступ к ней есть почти у каждого,0,0,0,0,0,0,0
180,На какое-либо пособие в России надеяться не приходится. а если и приходится то его ни на что не хватит,1,0,0,0,0,0,0
181,Пособия по безроаботицы тебе не хватит даже на то чтоб штаны поддержать,1,0,0,0,0,0,0
182,Я знаю много умных девушек которые работаю в айти сфере и шарят лучше мужиков,0,0,0,0,0,0,0
183,КРизис маскулинности никакой по сути не кризис,0,0,0,0,0,0,0
184,Барышням самое место на кухне с бощами так как на большее их хватит ева ли,1,0,0,0,0,0,0
185,Мужи должен уметь чинить тачки иначе какой он мужик,1,0,0,0,0,0,0
186,В московском метро неоднократно проиходили взрывы. Целью их всегда являлось запугивание населения,0,0,0,0,0,0,0
187,Данный пост является призывмо к войне и должен быть удален,0,0,0,0,0,0,0
188,"Как же надоели эти укропы. Когда уже на них сбросят ядерный грибок, чтобы земля их больше не носиал",1,0,0,0,0,0,0
189,Эти урусы уже поперек горла. Нам старший скоро привезет груз и мы пойдем подымать на воздух метро,1,0,0,0,0,0,0
190,Эротически сцены - это в принципе нормальнео явленя для современного кино,0,0,0,0,0,0,0
191,"В некоторых передачах обсуждаются откровенно порнографические подробности, однако как правило время передач после полуночи",0,0,0,0,0,0,0
192,"Я бы тебя оттарбанил своей сосиской, у тебя бы все болело",1,0,0,0,0,0,0
193,Люблю страпонить красивых мальчиков и смотреть как они сопротивляются,1,0,0,0,0,0,0
